product_id,views,purchases,conversion_rate(%),revenue
1005115,583010,22244,3.82,2.062557432E7
1005105,275721,8483,3.08,1.144535469E7
1005135,136844,4284,3.13,7086522.13
1004249,254931,8881,3.48,6815294.62
1004767,482898,22613,4.68,5574025.06
1005116,166202,5174,3.11,5186187.77
1002524,131452,6244,4.75,3427233.77
1004870,272097,10673,3.92,3030325.98
1005129,58185,1901,3.27,2527439.23
1005106,50635,1591,3.14,2303307.03
1004873,198101,6153,3.11,2227434.7
1005174,132764,3465,2.61,2213967.79
1005132,49116,1612,3.28,2142692.43
1005124,43474,1286,2.96,2014231.98
1003317,112169,2034,1.81,1942894.7
1005144,41850,1149,2.75,1892651.48
1004836,179932,7858,4.37,1821123.8
1005118,55968,1861,3.33,1791713.28
1004258,87781,2270,2.59,1775520.12
1002633,104987,4622,4.4,1761853.24
1003306,91098,2991,3.28,1758588.47
1004659,129593,2346,1.81,1710539.54
1004246,83609,2213,2.65,1706382.18
1005186,88229,2257,2.56,1703092.3
1005177,50057,1769,3.53,1553749.34
1005104,61934,1457,2.35,1426046.51
1004250,67204,1700,2.53,1408925.85
1005160,304614,6877,2.26,1387560.03
1005100,216374,10132,4.68,1377853.31
1005119,53924,1342,2.49,1354299.94
1005121,47139,1393,2.96,1331468.16
1004237,47973,1171,2.44,1315849.81
1005130,26052,800,3.07,1229060.51
1801690,121183,3086,2.55,1224305.46
1004227,47708,1013,2.12,1028236.89
4100346,72184,2824,3.91,1025594.42
1004785,158024,3571,2.26,931831.3
1005143,16719,618,3.7,908671.1
1002532,39395,1495,3.79,897122.27
1005141,18308,549,3.0,896462.39
4804718,148218,2501,1.69,867023.65
1005107,36936,853,2.31,864282.23
1004750,132187,4276,3.23,833063.02
1004838,149872,5067,3.38,826543.34
1005112,33200,854,2.57,823899.35
1801881,89959,1548,1.72,807443.44
1003310,42139,1058,2.51,790372.23
1005073,52676,663,1.26,765087.66
4804055,125534,3776,3.01,754603.27
1003316,45479,790,1.74,753991.4
1005182,26556,730,2.75,734893.12
5100855,47069,1295,2.75,733630.53
1002629,52871,1963,3.71,724111.43
1005239,193835,2659,1.37,703850.37
1004768,93714,2813,3.0,693139.4
1005014,83211,1413,1.7,691018.64
1005138,14396,409,2.84,683343.99
1005122,24619,661,2.68,672863.09
1801929,60415,1183,1.96,667104.16
1005161,127711,3259,2.55,656071.61
1002547,32600,1327,4.07,647335.03
1005126,16434,472,2.87,646711.11
